##############################################################################
# Ransomware Tracker CSV Feed                                                #
# Generated on 2016-06-30 15:22:58 UTC                                       #
#                                                                            #
# For questions please refer to:                                             #
# https://ransomwaretracker.abuse.ch/feeds/                                  #
##############################################################################
#
# Firstseen (UTC),Threat,Malware,Host,URL,Status,Registrar,IP address(es),ASN(s),Country
"2016-05-19 07:03:51","Distribution Site","Locky","itc.slav.dn.ua","http://itc.slav.dn.ua/5hg5v45v","offline","","193.228.2.3","44416","UA"
"2016-05-19 06:49:29","Distribution Site","Locky","clubrotor.ru","http://clubrotor.ru/vberf334g","offline","RU-CENTER-RU","89.111.179.102","41126|41126","RU"
"2016-05-18 09:36:01","Payment Site","TorrentLocker","de2nuvwegoo32oqv.torspaces.li","http://de2nuvwegoo32oqv.torspaces.li","offline","","","59504|16276",""
"2016-05-18 08:28:03","Distribution Site","Locky","racedayworld.com","http://racedayworld.com/87tgiphp","offline","NETWORK SOLUTIONS, LLC.","52.71.37.165","26496|14618","US"
"2016-05-18 07:37:08","Payment Site","TorrentLocker","de2nuvwegoo32oqv.torbook.li","http://de2nuvwegoo32oqv.torbook.li/","offline","","","56694|8972",""
"2016-05-18 07:04:22","Distribution Site","Locky","enormail.eu","http://enormail.eu/23f43g54","offline","Registrar.eu","109.237.216.216","200831","NL"
"2016-05-18 06:55:59","C2","Locky","78.47.159.97","http://78.47.159.97/userinfo.php","offline","","78.47.159.97","24940","DE"
"2016-05-18 06:52:33","Distribution Site","Locky","boonstoppel.info","http://boonstoppel.info/bg43gf43g3","offline","Hosting Concepts B.V. dba Openprovider","109.70.7.220","60781","NL"
"2016-05-18 06:21:25","Distribution Site","Locky","79.96.153.93","http://79.96.153.93/89yg67no","online","","","12824",""
"2016-05-18 06:07:55","Distribution Site","Locky","depaardestal.nl","http://depaardestal.nl/34g3gh4h","offline","One.com A/S","46.30.213.77","51468|51468|51468","DK"
"2016-05-18 05:27:52","Distribution Site","Locky","allmp3.hostil.pl","http://allmp3.hostil.pl/89yg67no","offline","OVH SAS","87.98.236.134","16276","PL"
"2016-05-18 05:10:08","Distribution Site","Locky","drive-mir.ru","http://drive-mir.ru/image/data/articles/1/log.php?f=404","offline","RU-CENTER-RU","85.93.145.137","34300","RU"
"2016-05-17 20:13:06","C2","Locky","93.170.169.52","http://93.170.169.52/userinfo.php","offline","","93.170.169.52","21100","CZ"
"2016-05-17 14:17:01","C2","Locky","217.12.199.151","http://217.12.199.151/userinfo.php","offline","","217.12.199.151","15626","UA"
"2016-05-17 14:02:18","Distribution Site","Locky","katyco.net","http://katyco.net/0uh8nb7","offline","NAME.COM, INC.","203.162.53.112","7643","VN"
"2016-05-17 13:10:59","Distribution Site","Locky","fuji-mig.com","http://fuji-mig.com/766t7y9gh","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","93.190.41.97","6849","UA"
"2016-05-17 12:57:44","Distribution Site","Locky","abantuvisions.com","http://abantuvisions.com/t6tg89h","offline","ENOM, INC.","192.185.90.154","20013","US"
"2016-05-17 12:45:35","Distribution Site","Locky","clerici.info","http://clerici.info/0uh8nb7?wTlNpIsJza=fIzyDvWW","offline","Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA","213.205.38.24","8612","IT"
"2016-05-17 12:40:52","Distribution Site","Locky","pocketfullofpoems.com","http://pocketfullofpoems.com/67rfyu","offline","GO CHINA DOMAINS, LLC","192.254.188.99","46606","US"
"2016-05-17 12:38:37","Distribution Site","Locky","apotekroxy.com","http://apotekroxy.com/t7t9ho","offline","TUCOWS DOMAINS INC.","103.229.72.22","55660","ID"
"2016-05-17 08:18:27","Distribution Site","Locky","jasoncoroy.com","http://jasoncoroy.com/7834hnf34?UqfQGDwqrH=VEIsyVKJmHF","offline","ENOM, INC.","104.24.106.100|104.24.106.100|104.24.107.100","13335|13335|54527","US|US"
"2016-05-17 07:24:19","Distribution Site","Locky","kabif.org.uk","http://kabif.org.uk/sdf3g445hg","offline","Promo People, Inc.","69.90.160.150","13768","CA"
"2016-05-17 07:23:43","Distribution Site","Locky","fundacionbraun.com","http://fundacionbraun.com/gh567jj56","online","NETWORK SOLUTIONS, LLC.","209.126.254.163","10439","US"
"2016-05-17 07:21:56","Distribution Site","Locky","sevvalsenturk.com","http://sevvalsenturk.com/98g4nug","offline","ENOM, INC.","198.54.115.218","22612|22612","US"
"2016-05-17 07:21:06","Distribution Site","Locky","uwzorg.info","http://uwzorg.info/k76gf34g4g","offline","Key-Systems GmbH","89.105.197.30","24875","NL"
"2016-05-17 06:09:56","Distribution Site","Locky","simplesourcehr.com","http://simplesourcehr.com/8kjh5g4gtg","offline","GODADDY.COM, LLC","74.212.203.198","14265","US"
"2016-05-17 06:09:46","Distribution Site","Locky","sexlandia.ru","http://sexlandia.ru/image/flags/.../admin.php?f=200","offline","REGRU-RU","82.146.33.102","29182","RU"
"2016-05-17 06:09:22","Distribution Site","Locky","no-id.eu","http://no-id.eu/987t5t7g","offline","CSL GmbH Computer Service Langenbach   d/b/a  joker.com","83.137.194.81","34233","NL"
"2016-05-17 06:09:12","Distribution Site","Locky","pasadenaoffice.com","http://pasadenaoffice.com/jhkuj5h44gv","offline","REGISTER.COM, INC.","69.67.54.86","14211","US"
"2016-05-17 06:06:34","Distribution Site","Locky","www.wellsigns.com","http://www.wellsigns.com/br4r3fc","offline","NETWORK SOLUTIONS, LLC.","195.8.66.1","8426","GB"
"2016-05-17 05:36:15","Distribution Site","Locky","zarya-ua.com.ua","http://zarya-ua.com.ua/image/flags/a/log.php?f=404","offline","ua.ukraine","185.68.16.203","200000","UA"
"2016-05-17 00:33:46","C2","Locky","dqtfhkgskushlum.org","http://dqtfhkgskushlum.org/userinfo.php","offline","Dynadot, LLC","69.195.129.70","19969","US"
"2016-05-17 00:23:16","C2","Locky","31.184.197.72","http://31.184.197.72/userinfo.php","offline","","31.184.197.72","44050","RU"
"2016-05-17 00:23:16","C2","Locky","188.127.231.124","http://188.127.231.124/userinfo.php","offline","","188.127.231.124","56694","RU"
"2016-05-17 00:23:16","C2","Locky","176.53.21.105","http://176.53.21.105/userinfo.php","offline","","176.53.21.105","197328","TR"
"2016-05-17 00:23:16","C2","Locky","149.202.109.202","http://149.202.109.202/userinfo.php","offline","","149.202.109.202","16276","FR"
"2016-05-16 14:31:06","Distribution Site","Locky","12hourenergy.com.au","http://12hourenergy.com.au/ty6yhd","offline","Web Address Registration","","7604",""
"2016-05-16 14:30:47","Distribution Site","Locky","nacirembalagens.com.br","http://nacirembalagens.com.br/eru8udf","offline","","177.185.192.143","28299","BR"
"2016-05-16 14:30:32","Distribution Site","Locky","foundationapparelco.com","http://foundationapparelco.com/f7yhks","offline","GODADDY.COM, LLC","66.147.244.133","46606","US"
"2016-05-16 14:30:13","Distribution Site","Locky","alynshy.com","http://alynshy.com/ty7yer","offline","GODADDY.COM, LLC","166.62.28.145","26496","US"
"2016-05-16 14:30:05","Distribution Site","Locky","athleticmmagear.com","http://athleticmmagear.com/bnjh57djf","offline","REGISTER.COM, INC.","173.254.3.189","46606","US"
"2016-05-16 14:29:50","Distribution Site","Locky","philippinesregalo.com","http://philippinesregalo.com/uij4hf","offline","NAMESILO, LLC","96.127.149.146","32475","US"
"2016-05-16 14:28:34","Distribution Site","Locky","renklitatlar.com","http://renklitatlar.com/y78fj34f3","offline","TUCOWS DOMAINS INC.","","56582",""
"2016-05-16 14:27:35","Distribution Site","Locky","myeventincentives.com","http://myeventincentives.com/gh6yds","offline","FASTDOMAIN, INC.","","46606",""
"2016-05-16 14:27:26","Distribution Site","Locky","truesafetygear.ca","http://truesafetygear.ca/cv4tgd","offline","Go Daddy Domains Canada, Inc","162.144.86.172","46606","US"
"2016-05-16 14:27:01","Distribution Site","Locky","medihometown-usa.com","http://medihometown-usa.com/hgb3gd","offline","GODADDY.COM, LLC","107.180.2.181","26496","US"
"2016-05-16 14:26:40","Distribution Site","Locky","mintbymelm.com","http://mintbymelm.com/jk3jsd","offline","GODADDY.COM, LLC","103.11.191.51","58621","SG"
"2016-05-16 14:26:26","Distribution Site","Locky","soldabarra.com.br","http://soldabarra.com.br/bvb3okd","offline","","159.203.75.88","393406","US"
"2016-05-16 14:26:09","Distribution Site","Locky","uggforever.com.au","http://uggforever.com.au/nhd7hg","offline","Web Address Registration","166.62.28.91","26496","US"
"2016-05-16 14:14:52","Distribution Site","Locky","visionpharmapk.com","http://visionpharmapk.com/32svbrth67","offline","GODADDY.COM, LLC","131.153.38.170","19437|20454","US"
"2016-05-16 14:14:14","Distribution Site","Locky","tafeta.ca","http://tafeta.ca/32r45h5","offline","SIBERNAME INTERNET AND SOFTWARE TECHNOLOGIES INC.","209.44.101.146","10929","CA"
"2016-05-16 14:14:00","Distribution Site","Locky","sunlite.com.au","http://sunlite.com.au/j76jn5nbv","offline","TPP Wholesale Pty Ltd","54.252.105.221","38719|16509","AU"
"2016-05-16 14:13:52","Distribution Site","Locky","scpremiumbikes.com","http://scpremiumbikes.com/4g45gh45","offline","TUCOWS DOMAINS INC.","103.6.198.138","46015","MY"
"2016-05-16 14:13:33","Distribution Site","Locky","optimus-communication.com","http://optimus-communication.com/6y45gj445","offline","GODADDY.COM, LLC","23.229.166.35","26496","US"
"2016-05-16 14:13:30","Distribution Site","Locky","neophrontech.com","http://neophrontech.com/8j656hg45hg","offline","GODADDY.COM, LLC","50.87.148.11","46606","US"
"2016-05-16 14:13:03","Distribution Site","Locky","muscleinjuries.com","http://muscleinjuries.com/0934f4fr4g","offline","NAMESECURE.COM","192.186.222.166","26496","US"
"2016-05-16 14:12:46","Distribution Site","Locky","lhhme.com.sg","http://lhhme.com.sg/09756y4g","offline","IP MIRROR PTE LTD","103.9.101.111","58621","SG"
"2016-05-16 14:12:13","Distribution Site","Locky","deanstum.com","http://deanstum.com/gnhy5jh4g","offline","GODADDY.COM, LLC","192.186.229.69","26496","US"
"2016-05-16 14:11:24","Distribution Site","Locky","aquatixbottle.com","http://aquatixbottle.com/nhftgrg45","offline","GODADDY.COM, LLC","192.186.212.231","26496","US"
"2016-05-16 14:11:07","Distribution Site","Locky","albany.asn.au","http://albany.asn.au/0843r43ttg4g","offline","Web Address Registration","27.123.31.81","38719","AU"
"2016-05-16 14:10:53","Distribution Site","Locky","sitkainvestigations.com","http://sitkainvestigations.com/765gg4tg4","offline","GODADDY.COM, LLC","192.186.218.164","26496","US"
"2016-05-16 12:56:52","Distribution Site","Locky","technobuz.com","http://technobuz.com/876jh5g4g4","offline","GODADDY.COM, LLC","23.229.142.4","26496","US"
"2016-05-16 12:56:29","Distribution Site","Locky","thetestserver.net","http://thetestserver.net/fg45g4g","offline","ENOM, INC.","192.185.102.2","20013","US"
"2016-05-16 12:55:59","Distribution Site","Locky","fundaciontehuelche.com.ar","http://fundaciontehuelche.com.ar/897kjht4g34","offline","","200.58.111.224","36352|27823","AR"
"2016-05-16 10:49:16","Distribution Site","Locky","sweetkad.com","http://sweetkad.com/gh5gf","offline","GODADDY.COM, LLC","66.45.245.40","19318","US"
"2016-05-16 09:07:48","C2","Locky","5.34.183.40","http://5.34.183.40/userinfo.php","offline","","5.34.183.40","15626","UA"
"2016-05-10 14:25:24","C2","Locky","92.222.71.26","http://92.222.71.26/userinfo.php","offline","","92.222.71.26","16276","FR"
"2016-05-10 12:30:43","C2","Locky","185.82.202.170","http://185.82.202.170/userinfo.php","online","","185.82.202.170","60117","NL"
"2016-05-10 11:00:54","Distribution Site","Locky","wein-shop.wineandnature.com","http://wein-shop.wineandnature.com/irt9ijf","offline","1&1 INTERNET SE","54.76.7.93","8560|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509","IE"
"2016-05-10 11:00:48","Distribution Site","Locky","synchrostore.com.br","http://synchrostore.com.br/ikj8hjf","offline","","52.67.57.42","16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509|16509","BR"
"2016-05-10 11:00:27","Distribution Site","Locky","smoochintimates.com.au","http://smoochintimates.com.au/qow9od","offline","Tucows","118.127.42.199","45425","AU"
"2016-05-10 11:00:12","Distribution Site","Locky","shop.singledivers.com","http://shop.singledivers.com/po4ifk","offline","GODADDY.COM, LLC","","46606",""
"2016-05-10 11:00:05","Distribution Site","Locky","shop.kvgems-preciousstones.com","http://shop.kvgems-preciousstones.com/try4ghf","offline","GODADDY.COM, LLC","173.245.95.98","18779","US"
"2016-05-10 10:59:44","Distribution Site","Locky","shop.kndbooks.com","http://shop.kndbooks.com/trg5hjs","offline","GODADDY.COM, LLC","","26496",""
"2016-05-10 10:59:38","Distribution Site","Locky","shop.futurefactory-software.com","http://shop.futurefactory-software.com/hgh5kd","offline","LEDL.NET GMBH","78.46.59.214","24940","DE"
"2016-05-10 10:59:01","Distribution Site","Locky","recomobilesolutions.com","http://recomobilesolutions.com/jk3jsd","offline","ENOM, INC.","91.210.81.157","48250","RO"
"2016-05-10 10:58:43","Distribution Site","Locky","rhythmlifestyle.co.uk","http://rhythmlifestyle.co.uk/hf6ghsd","offline","Paragon Internet Group Ltd t/a Tsohost","185.119.173.85","198047|198047","GB"
"2016-05-10 10:58:27","Distribution Site","Locky","premierbandsusa.com","http://premierbandsusa.com/eryu8ud","offline","GODADDY.COM, LLC","107.180.51.20","26496","US"
"2016-05-10 10:58:12","Distribution Site","Locky","nowandthensecondhandstore.com","http://nowandthensecondhandstore.com/opw9ikk","offline","GODADDY.COM, LLC","107.180.40.141","26496","US"
"2016-05-10 10:58:05","Distribution Site","Locky","natural-skin.com.au","http://natural-skin.com.au/io2kjd","offline","Web Address Registration","","46606",""
"2016-05-10 10:57:41","Distribution Site","Locky","marinastore.co.uk","http://marinastore.co.uk/u7ydf","offline","UK2 Limited","","54641",""
"2016-05-10 10:57:27","Distribution Site","Locky","lapkodeal.com","http://lapkodeal.com/jfh6yhs","offline","GODADDY.COM, LLC","160.153.52.224","26496","US"
"2016-05-10 10:57:13","Distribution Site","Locky","justhorseriders.co.uk","http://justhorseriders.co.uk/cv0kd","offline","1 & 1 Internet SE","46.37.191.75","34934","GB"
"2016-05-10 10:56:37","Distribution Site","Locky","iloveaceite.com","http://iloveaceite.com/p2kjd","offline","NETEARTH ONE INC. D/B/A NETEARTH","31.47.74.38","16134","ES"
"2016-05-10 10:56:21","Distribution Site","Locky","harshdeepjewellers.com","http://harshdeepjewellers.com/fg2hjs","offline","GODADDY.COM, LLC","107.180.41.45","26496","US"
"2016-05-10 10:56:02","Distribution Site","Locky","goblinada.net","http://goblinada.net/y3ijsd","offline","TUCOWS DOMAINS INC.","194.135.87.127","62282|62282","LT"
"2016-05-10 10:55:55","Distribution Site","Locky","etikdeals.com","http://etikdeals.com/ree3oow","offline","ONLINE SAS","","13335|13335|12876",""
"2016-05-10 10:55:38","Distribution Site","Locky","drgravity.com","http://drgravity.com/t5gds","offline","NETWORK SOLUTIONS, LLC.","50.62.108.1","26496","US"
"2016-05-10 10:55:21","Distribution Site","Locky","divyabooks.com","http://divyabooks.com/vbdh4dd","offline","NET 4 INDIA LIMITED","31.31.196.57","39134|15756","RU"
"2016-05-10 10:55:15","Distribution Site","Locky","cubee.lt","http://cubee.lt/zx2sd","offline","UAB "Interneto vizija"","194.135.87.127","62282|62282","LT"
"2016-05-10 10:54:57","Distribution Site","Locky","cmobilier.com","http://cmobilier.com/rtu7ujd","offline","OVH","5.39.70.7","16276","FR"
"2016-05-10 10:54:45","Distribution Site","Locky","beverlyhillssilver.com","http://beverlyhillssilver.com/opd7js","offline","NETWORK SOLUTIONS, LLC.","72.41.110.2","32392","US"
"2016-05-10 10:54:27","Distribution Site","Locky","admin.prettysecrets.com","http://admin.prettysecrets.com/fjk1lkd","offline","GO FRANCE DOMAINS, LLC","54.148.201.58","16509","US"
"2016-05-10 10:42:02","Distribution Site","Locky","tadinda.web-tasarimcilar.com","http://tadinda.web-tasarimcilar.com/catalog/language/english/error/.../log.php?f=403","offline","GODADDY.COM, LLC","78.135.89.12","42910","TR"
"2016-05-09 06:33:28","Payment Site","TorrentLocker","de2nuvwegoo32oqv.tortelevision.li","http://de2nuvwegoo32oqv.tortelevision.li/","offline","","","35415",""
"2016-05-09 02:36:18","C2","Locky","37.46.131.153","http://37.46.131.153/userinfo.php","offline","","37.46.131.153","29182","RU"
"2016-05-08 21:29:31","C2","TeslaCrypt","jdebrains.com","http://jdebrains.com/_set.php","offline","GODADDY.COM, LLC","23.229.155.72","26496","US"
"2016-05-08 21:29:31","C2","TeslaCrypt","chaliawala.com","http://chaliawala.com/_set.php","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","64.22.112.34","3595","US"
"2016-05-08 07:20:24","C2","Locky","193.124.185.87","http://193.124.185.87/userinfo.php","offline","","193.124.185.87","48666","RU"
"2016-05-07 22:45:27","C2","Locky","146.185.137.40","http://146.185.137.40/userinfo.php","offline","","146.185.137.40","200130","NL"
"2016-05-07 06:29:36","Distribution Site","Locky","helpdesk.zergos.ru","http://helpdesk.zergos.ru/gh3gsd","offline","REGRU-RU","138.201.119.127","24940|8342","DE"
"2016-05-06 20:30:30","C2","TeslaCrypt","www.laidclinique.com.mx","http://www.laidclinique.com.mx/_ini.php","offline","NEUBOX Internet SA de CV","65.99.225.47","36024","US"
"2016-05-06 20:30:30","C2","TeslaCrypt","laidclinique.com.mx","http://laidclinique.com.mx/_ini.php","offline","NEUBOX Internet SA de CV","65.99.225.47","36024","US"
"2016-05-06 18:00:31","C2","Locky","78.47.110.82","http://78.47.110.82/userinfo.php","offline","","78.47.110.82","24940","DE"
"2016-05-06 13:38:30","Distribution Site","Locky","4ix.com","http://4ix.com/89yg7bnmmoi","offline","ENOM, INC.","203.129.113.142","18126","JP"
"2016-05-06 11:53:09","Distribution Site","Locky","drdianateachertraining.com","http://drdianateachertraining.com/09y8hb7v6y7g","offline","GODADDY.COM, LLC","199.83.129.211|199.83.129.211|199.83.131.211","19551|19551|46606","US|US"
"2016-05-06 11:14:35","Distribution Site","Locky","taninabandb.com","http://taninabandb.com/89yg7bnmmoi","offline","ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA","213.205.38.26","8612","IT"
"2016-05-06 10:47:55","Distribution Site","Locky","rulshtory.wmlead.ru","http://rulshtory.wmlead.ru/agsh4nf","offline","RU-CENTER-RU","","35415",""
"2016-05-06 09:22:51","Distribution Site","Locky","cliente1.gugliandolo.com","http://cliente1.gugliandolo.com/09y8hb7v6y7g","offline","TUCOWS DOMAINS INC.","85.235.131.88","31034","IT"
"2016-05-06 09:08:00","Distribution Site","Locky","topcarshop.ir","http://topcarshop.ir/m1kas","offline","","87.98.227.214","2516|16276","ES"
"2016-05-06 08:42:37","Payment Site","TeslaCrypt","ik4dm.mazerunci.at","http://ik4dm.mazerunci.at/","offline","","","701|12271|11426|11351|701|31272|31272|31272|31272|31272|31272|31272|31272|33894|49223|49223|34056|34056|35816|47165|12872|12872|12872|",""
"2016-05-06 08:40:44","Payment Site","TeslaCrypt","y4bxj.adozeuds.com","http://y4bxj.adozeuds.com/","offline","KEY-SYSTEMS GMBH","","264651|23520|44217",""
"2016-05-06 08:32:27","Distribution Site","Locky","akarui.org","http://akarui.org/09u87tgy","offline","GoDaddy.com, LLC","23.229.246.136","26496","US"
"2016-05-06 08:32:17","Distribution Site","Locky","spraszyn.home.pl","http://spraszyn.home.pl/89yg7g87byi","offline","home.pl S.A.","79.96.92.220","12824","PL"
"2016-05-06 08:31:56","Distribution Site","Locky","virusremovals.org","http://virusremovals.org/89yg7g87byi","offline","Name.com, LLC","173.254.28.156","46606","US"
"2016-05-06 08:31:40","Distribution Site","Locky","istvest.com","http://istvest.com/89yg7g87byi","offline","TUCOWS DOMAINS INC.","79.98.29.30","62282","LT"
"2016-05-06 08:31:30","Distribution Site","Locky","ikiartimatbaa.com","http://ikiartimatbaa.com/89yg7g87byi","offline","NICS TELEKOMUNIKASYON TICARET LTD.STI.","94.73.150.20","34619","TR"
"2016-05-06 06:02:47","Distribution Site","Locky","shopngocquyen.com","http://shopngocquyen.com/09y8hb7v6y7g","offline","GODADDY.COM, LLC","50.63.202.36","33182|26496","US"
"2016-05-05 14:49:32","C2","TeslaCrypt","hypnotiseyourself.co.uk","http://hypnotiseyourself.co.uk/_ini.php","offline","123-Reg Limited t/a 123-reg","50.87.146.83","46606","US"
"2016-05-05 13:45:41","C2","Locky","fdehgchykmiqwdg.info","http://fdehgchykmiqwdg.info/userinfo.php","offline","Dynadot, LLC","69.195.129.70","19969","US"
"2016-05-05 13:45:41","C2","Locky","91.219.29.66","http://91.219.29.66/userinfo.php","offline","","91.219.29.66","3254","UA"
"2016-05-05 13:45:41","C2","Locky","185.22.67.108","http://185.22.67.108/userinfo.php","offline","","185.22.67.108","48716","KZ"
"2016-05-05 08:31:05","C2","Locky","91.226.93.124","http://91.226.93.124/userinfo.php","offline","","91.226.93.124","12389","RU"
"2016-05-05 07:24:10","Distribution Site","Locky","fashionmekka.com","http://fashionmekka.com/b7uekjw","offline","KEY-SYSTEMS GMBH","195.74.38.93","41528","SE"
"2016-05-05 06:54:11","Distribution Site","Locky","sourcechemindia.com","http://sourcechemindia.com/x7yjfk","offline","WILD WEST DOMAINS, LLC","107.180.3.43","26496","US"
"2016-05-05 06:54:04","Distribution Site","Locky","testovaciadomena.sk","http://testovaciadomena.sk/v7uejq","offline","","93.184.77.198","29405","SK"
"2016-05-05 06:53:35","Distribution Site","Locky","stadiumwebshop.com","http://stadiumwebshop.com/b6ydjs","offline","TLD REGISTRAR SOLUTIONS LTD","95.110.203.104","31034","IT"
"2016-05-05 06:53:18","Distribution Site","Locky","web.smadwiwarna.net","http://web.smadwiwarna.net/09u87tgy","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","118.97.100.149","17974","ID"
"2016-05-05 06:53:06","Distribution Site","Locky","jambe.in","http://jambe.in/09u87tgy","offline","GoDaddy.com, LLC (R101-AFIN)","216.239.32.21|216.239.32.21|216.239.34.21|216.239.36.21|216.239.38.21","20013|15169|15169|15169|15169","US|US|US|US"
"2016-05-05 06:52:38","Distribution Site","Locky","cwsnet.com.au","http://cwsnet.com.au/hgf4td","offline","Web Address Registration","216.224.174.137","22905","US"
"2016-05-05 06:52:16","C2","Locky","91.234.33.215","http://91.234.33.215/userinfo.php","offline","","91.234.33.215","56485","UA"
"2016-05-05 05:51:39","Payment Site","TeslaCrypt","h54dc.leverdaze.at","http://h54dc.leverdaze.at/","offline","","","701|12271|11426|11351|701|31272|31272|31272|31272|31272|31272|31272|33894|49223|49223|34056|34056|35816|47165|12872|12872|15895|15895|15",""
"2016-05-04 22:34:37","C2","PayCrypt","dnibsan.com","http://dnibsan.com/wp-includes/widgets/pass/","offline","ENOM, INC.","67.225.220.95","32244","US"
"2016-05-04 18:30:30","C2","Locky","138.201.95.72","http://138.201.95.72/userinfo.php","offline","","138.201.95.72","24940","DE"
"2016-05-04 16:15:09","C2","TeslaCrypt","random-shots.com","http://random-shots.com/_set.php","offline","GODADDY.COM, LLC","192.185.5.148","20013","US"
"2016-05-04 07:41:00","C2","Locky","31.184.197.126","http://31.184.197.126/userinfo.php","offline","","31.184.197.126","44050","RU"
"2016-05-03 15:34:18","C2","Locky","91.226.93.113","http://91.226.93.113/userinfo.php","offline","","91.226.93.113","12389","RU"
"2016-05-03 15:33:07","C2","Locky","91.219.29.64","http://91.219.29.64/userinfo.php","offline","","91.219.29.64","3254","UA"
"2016-05-03 13:49:10","Distribution Site","Locky","badu.sk","http://badu.sk/a8uske","offline","","37.9.175.13","51013","SK"
"2016-05-03 13:28:52","Distribution Site","Locky","niagara.vn.ua","http://niagara.vn.ua/5wpSRm.exe","offline","ua.ukraine","185.68.16.6","200000","UA"
"2016-05-02 19:59:11","C2","TeslaCrypt","www.maniffatoretraiteur.com","http://www.maniffatoretraiteur.com/_set.php","offline","GANDI SAS","217.70.180.151","29169","FR"
"2016-05-02 06:06:36","Payment Site","TeslaCrypt","k234s.ascotsprue.com","http://k234s.ascotsprue.com/","offline","KEY-SYSTEMS GMBH","","264651|23520|44217",""
"2016-05-02 06:05:48","Payment Site","TeslaCrypt","l123d.feustude.at","http://l123d.feustude.at/","offline","","","701|12271|11426|11351|701|701|31272|31272|31272|31272|31272|31272|31272|31272|31272|33894|49223|49223|34056|34056|35816|35816|47165",""
"2016-05-02 06:05:31","Payment Site","TeslaCrypt","u24er.ovaarmor.com","http://u24er.ovaarmor.com/","offline","KEY-SYSTEMS GMBH","","264651|23520|44217",""
"2016-05-02 02:48:28","C2","Locky","ycvcjbhgkmsiyhdd.info","http://ycvcjbhgkmsiyhdd.info/userinfo.php","offline","Regtime Ltd.","91.230.211.26","57129","RU"
"2016-05-01 23:05:43","C2","TeslaCrypt","site7.aiglecom.com","http://site7.aiglecom.com/_set.php","offline","GANDI SAS","217.70.180.151","29169","FR"
"2016-05-01 19:25:01","C2","Locky","rrcspgfghsjnklts.pw","http://rrcspgfghsjnklts.pw/main.php","offline","Namecheap","208.100.26.234","32748","US"
"2016-05-01 15:39:48","C2","Locky","abvtqhwodwjmi.work","http://abvtqhwodwjmi.work/userinfo.php","offline","Regtime","91.230.211.26","57129","RU"
"2016-05-01 08:38:39","Payment Site","TorrentLocker","stgg5jv6mqiibmax.toradmin.li","http://stgg5jv6mqiibmax.toradmin.li/","offline","","","56694|29182",""
"2016-05-01 08:34:30","Payment Site","TorrentLocker","stgg5jv6mqiibmax.torclever.li","http://stgg5jv6mqiibmax.torclever.li/","offline","","","56694|29182",""
"2016-04-29 19:56:39","C2","Locky","cwprfpjtmjb.biz","http://cwprfpjtmjb.biz/userinfo.php","offline","DYNADOT LLC","69.195.129.70","19969","US"
"2016-04-29 17:21:38","C2","Locky","83.217.8.155","http://83.217.8.155/userinfo.php","offline","","83.217.8.155","60651","RU"
"2016-04-29 14:44:51","Distribution Site","Locky","listelo.com.br","http://listelo.com.br/b7vjdf","offline","","177.234.151.130","53055|52925","BR"
"2016-04-29 12:39:19","C2","Locky","89.108.84.155","http://89.108.84.155/userinfo.php","offline","","89.108.84.155","43146","RU"
"2016-04-29 12:31:32","Distribution Site","Locky","dveri-ivanovo.ru","http://dveri-ivanovo.ru/owieaf","offline","R01-RU","","43362",""
"2016-04-29 10:59:59","Distribution Site","Locky","avcilarinpazari.com","http://avcilarinpazari.com/u7udssd","offline","PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM","188.132.235.143","42910","TR"
"2016-04-29 10:59:45","Distribution Site","Locky","zona-sezona.com.ua","http://zona-sezona.com.ua/hj1lsp","offline","ua.adresa","91.223.223.159","196645","UA"
"2016-04-29 10:59:31","Distribution Site","Locky","amatic.in","http://amatic.in/hdy3ss","offline","GoDaddy.com, LLC (R101-AFIN)","50.63.93.1","26496","US"
"2016-04-29 10:59:13","Distribution Site","Locky","cafeaparis.eu","http://cafeaparis.eu/f7yhsad","offline","DonDominio.com / Soluciones Corporativas IP, SLU","93.189.94.243","49635","ES"
"2016-04-29 08:50:13","Distribution Site","Locky","64.207.144.148","http://64.207.144.148/08j78h65e","offline","","","31815",""
"2016-04-29 08:50:06","Distribution Site","Locky","easytravelvault.com","http://easytravelvault.com/08j78h65e","online","CRAZY DOMAINS FZ-LLC","","38719",""
"2016-04-29 08:49:48","Distribution Site","Locky","kizilirmakdeltasi.net","http://kizilirmakdeltasi.net/08j78h65e","offline","FBS INC.","188.227.170.23","35662|20860","GB"
"2016-04-29 08:49:37","Distribution Site","Locky","emcartaz.net.br","http://emcartaz.net.br/08j78h65e","offline","","","27715",""
